50,30,20,6,Vino-delicato-profumato
51,29,20,6.5,Vino-delicato-profumato
50,25,25,6.2,Vino-delicato-profumato
60,20,20,6,Vino-delicato-profumato
80,10,10,6.7,Vino-delicato-profumato
70,20,10,6,Vino-delicato-profumato
90,5,5,6.9,Vino-delicato-profumato
52,40,8,7,Vino-delicato-profumato
53,33,14,6.6,Vino-delicato-profumato
63,7,30,6,Vino-delicato-profumato
10,80,10,8,Vino-leggero-profumato-elegante
0,80,20,7,Vino-leggero-profumato-elegante
10,82,8,8,Vino-leggero-profumato-elegante
8,80,12,8,Vino-leggero-profumato-elegante
10,80,11,7,Vino-leggero-profumato-elegante
0,80,21,6,Vino-leggero-profumato-elegante
10,81,9,8,Vino-leggero-profumato-elegante
7,81,12,8,Vino-leggero-profumato-elegante
12,79,9,8,Vino-leggero-profumato-elegante
5,83,12,8,Vino-leggero-profumato-elegante
5,15,80,7,Vino-buonaacidita-riccodiestratto
10,10,80,7.3,Vino-buonaacidita-riccodiestratto
3,17,80,7.2,Vino-buonaacidita-riccodiestratto
4,16,80,7,Vino-buonaacidita-riccodiestratto
5,15,80,7,Vino-buonaacidita-riccodiestratto
11,11,78,7.3,Vino-buonaacidita-riccodiestratto
2,18,80,7.2,Vino-buonaacidita-riccodiestratto
1,19,80,7,Vino-buonaacidita-riccodiestratto
3,27,70,7.2,Vino-buonaacidita-riccodiestratto
4,20,76,7,Vino-buonaacidita-riccodiestratto

